+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;396;01.1.2.08.007;;    COFINS a Recuperar;COFINSRECUP;Ativo;Balanço Patrimonial;;;;90011;Comum
;400;01.1.2.08.008;;    CSLL a Recuperar;CSLLRECUP;Ativo;Balanço Patrimonial;;;;90011;Comum
;100006;01.1.2.08.009;;    ISS a Recuperar;ISSRECUP;Ativo;Balanço Patrimonial;;;;90011;Comum
;100030;01.1.2.08.010;;    INSS a Recuperar;INSSRECUP;Ativo;Balanço Patrimonial;;;;90011;Comum
;418;01.1.2.09;T;   EMPRÉSTIMOS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;100013;01.1.2.09.001;;    Instituição financeira;;Ativo;Balanço Patrimonial;;;;90011;Comum
;426;01.1.2.10;T;   ESTOQUES;;Ativo;Balanço Patrimonial;;;;90011;Comum
;434;01.1.2.10.001;;    Estoque de Mercadoria Para Revenda;ESTMERC;Ativo;Balanço Patrimonial;;;;90011;Comum
;442;01.1.2.10.002;;    Estoque de Matéria-Prima;ESTMP;Ativo;Balanço Patrimonial;;;;90011;Comum
;450;01.1.2.10.003;;    Estoque de Material de Consumo de Almoxarifado;ESTMCO;Ativo;Balanço Patrimonial;;;;90011;Comum
;469;01.1.2.10.004;;    Estoque de Produtos Em Elaboração;ESTELAB;Ativo;Balanço Patrimonial;;;;90011;Comum
;477;01.1.2.10.005;;    Estoque de Produtos Acabados;ESTACAB;Ativo;Balanço Patrimonial;;;;90011;Comum
;485;01.1.2.11;T;   DEDUÇÕES DOS DIREITOS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;493;01.1.2.11.001;;    Duplicatas descontadas;DPLDESC;Ativo;Balanço Patrimonial;;;;90011;Comum
;507;01.1.2.11.002;;    Provisão P/ Créditos de Liquidação Duvidosa;PROVCRED;Ativo;Balanço Patrimonial;;;;90011;Comum
;515;01.1.2.11.003;;    Provisão P/Ajuste Aplicação Em Ouro;PROVOURO;Ativo;Balanço Patrimonial;;;;90011;Comum
;523;01.1.2.12;T;   REMESSA DE PRODUTOS/MERCADORIAS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;531;01.1.2.12.001;;    Remessa de Produtos/Mercadorias;REMMERPRO;Ativo;Balanço Patrimonial;;;;90011;Comum
;540;01.1.2.13;T;   RETORNO DE PRODUTOS/MERCADORIAS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;558;01.1.2.13.001;;    Retorno de Produtos/Mercadorias;RETMERPRO;Ativo;Balanço Patrimonial;;;;90011;Comum
;566;01.1.3;T;  DESPESAS DO EXERCÍCIO SEGUINTE;;Ativo;Balanço Patrimonial;;;;90011;Comum
;574;01.1.3.01;T;   SEGUROS A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90011;Comum
;582;01.1.3.01.001;;    Seguros Contra Incêndios a Apropriar;INCENDIO;Ativo;Balanço Patrimonial;;;;90011;Comum
;590;01.1.3.01.002;;    Seguros Contra Roubo a Apropriar;ROUBO;Ativo;Balanço Patrimonial;;;;90011;Comum
;604;01.1.3.01.003;;    Seguros Contra Lucros Cessantes;LUCROSCESS;Ativo;Balanço Patrimonial;;;;90011;Comum
;612;01.1.3.02;T;   ASSINATURAS DE PERIÓDICOS A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90011;Comum
;620;01.1.3.02.001;;    Assinatura de Boletins Jornais Revistas;ASSJORNAIS;Ativo;Balanço Patrimonial;;;;90011;Comum
;639;01.1.3.03;T;   ALUGUEL ANTECIPADO A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90011;Comum
;647;01.1.3.03.001;;    Aluguel de Bens Imóveis;ALIMOV;Ativo;Balanço Patrimonial;;;;90011;Comum
;655;01.1.3.03.002;;    Aluguel de Bens Móveis;ALMOV;Ativo;Balanço Patrimonial;;;;90011;Comum
;663;01.2;T; ATIVO NÃO CIRCULANTE;;Ativo;Balanço Patrimonial;;;;90011;Comum
;671;01.2.1;T;  ATIVO REALIZÁVEL A LONGO PRAZO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;680;01.2.1.01;T;   TÍTULOS A RECEBER DE TERCEIROS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;698;01.2.1.01.001;;    Nota Promissória a Receber;NPROMREC;Ativo;Balanço Patrimonial;;;;90011;Comum
;701;01.2.1.02;T;   DEPÓSITOS JUDICIAIS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;710;01.2.1.02.001;;    Causas Trabalhistas;TRABALH;Ativo;Balanço Patrimonial;;;;90011;Comum
;728;01.2.1.02.002;;    PIS sobre receitas operacionais;PISJUDIC;Ativo;Balanço Patrimonial;;;;90011;Comum
;736;01.2.1.03;T;   EMPRÉSTIMOS COMPULSÓRIOS ELETROBRÁS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;744;01.2.1.03.001;;    Adicionais conversíveis créditos Eletrobrás;EMPCOMPELETROBRAS;Ativo;Balanço Patrimonial;;;;90011;Comum
;752;01.2.1.03.002;;    Créditos Eletrobrás;CREDELETROBRAS;Ativo;Balanço Patrimonial;;;;90011;Comum
;760;01.2.1.03.003;;    Juros sobre créditos Eletrobrás a receber;JRSELETROBRAS;Ativo;Balanço Patrimonial;;;;90011;Comum
;787;01.2.1.04;T;   EMPRÉSTIMOS A PESSOAS LIGADAS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;3883;01.2.1.04.001;;    Empresa A S/A;EMPA;Ativo;Balanço Patrimonial;;;;90011;Comum
;809;01.2.2;T;  INVESTIMENTOS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;3905;01.2.2.01;T;   INVESTIMENTOS EM COLIGADAS E CONTROLADAS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;3913;01.2.2.01.001;;    Empresa 1 S/A;EMP1;Ativo;Balanço Patrimonial;;;;90011;Comum
;817;01.2.3;T;  IMOBILIZADO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;825;01.2.3.01;T;   BENS E DIREITOS EM USO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;833;01.2.3.01.001;;    Máquinas e Equipamentos;MAQEQUIPS;Ativo;Balanço Patrimonial;;;;90011;Comum
